sale_id,timestamp,product,quantity,price
1,2022-02-15 09:11:00,Chardonnay,2,48.83
2,2022-02-03 14:36:00,Merlot,3,37.67
3,2022-03-09 20:38:00,Chardonnay,4,44.19
4,2022-02-26 19:05:00,Cabernet,4,69.95
5,2022-02-10 11:28:00,Cabernet,3,89.77
6,2022-02-21 09:42:00,Chardonnay,5,91.42
7,2022-02-03 18:51:00,Pinot Noir,1,81.21
8,2022-01-15 01:20:00,Bootleg Red,5,75.81
9,2022-02-17 06:38:00,Bootleg Red,4,70.3
10,2022-01-08 16:45:00,Pinot Noir,5,13.46
11,2022-02-23 11:18:00,Merlot,5,64.03
12,2022-01-13 09:59:00,Merlot,1,30.29
13,2022-02-21 14:18:00,Chardonnay,4,87.18
14,2022-01-31 19:24:00,Merlot,2,70.66
15,2022-02-21 11:58:00,Cabernet,5,54.24
16,2022-02-19 22:41:00,Chardonnay,3,57.03
17,2022-02-14 08:06:00,Cabernet,1,17.9
18,2022-01-16 00:23:00,Merlot,5,15.52
19,2022-01-17 15:27:00,Chardonnay,4,58.73
20,2022-02-26 17:31:00,Cabernet,5,59.93
21,2022-02-12 00:44:00,Pinot Noir,5,25.4
22,2022-01-04 03:28:00,Chardonnay,1,15.49
23,2022-03-06 17:25:00,Merlot,5,11.5
24,2022-02-22 16:02:00,Pinot Noir,4,24.04
25,2022-01-05 05:41:00,Cabernet,3,61.29
26,2022-01-02 04:53:00,Cabernet,5,70.87
27,2022-03-10 17:01:00,Merlot,5,85.35
28,2022-01-24 17:03:00,Bootleg Red,4,36.38
29,2022-02-12 15:15:00,Bootleg Red,2,43.13
30,2022-02-02 05:31:00,Merlot,5,78.81
31,2022-02-15 02:26:00,Chardonnay,1,56.58
32,2022-01-28 04:12:00,Chardonnay,1,43.94
33,2022-01-25 10:59:00,Cabernet,1,96.54
34,2022-03-05 00:06:00,Bootleg Red,1,62.9
35,2022-01-09 16:28:00,Pinot Noir,1,56.17
36,2022-01-31 04:03:00,Pinot Noir,3,61.31
37,2022-01-21 15:47:00,Pinot Noir,2,94.18
38,2022-02-02 18:06:00,Merlot,2,64.87
39,2022-01-25 10:22:00,Chardonnay,3,39.39
40,2022-01-01 03:34:00,Chardonnay,3,76.8
41,2022-02-24 02:32:00,Bootleg Red,1,99.3
42,2022-02-26 22:10:00,Merlot,4,27.82
43,2022-02-18 07:41:00,Chardonnay,4,60.66
44,2022-02-10 21:20:00,Pinot Noir,2,35.66
45,2022-01-19 00:02:00,Pinot Noir,2,62.25
46,2022-01-31 03:28:00,Chardonnay,1,78.19
47,2022-02-12 20:52:00,Cabernet,1,89.93
48,2022-02-02 10:41:00,Cabernet,3,39.59
49,2022-01-20 18:44:00,Chardonnay,1,82.97
50,2022-01-29 06:35:00,Chardonnay,1,81.72
51,2022-02-06 20:51:00,Chardonnay,5,68.12
52,2022-02-12 05:46:00,Chardonnay,2,62.09
53,2022-03-02 07:13:00,Bootleg Red,1,32.21
54,2022-03-02 02:31:00,Cabernet,5,15.59
55,2022-03-09 20:28:00,Bootleg Red,3,45.24
56,2022-01-25 19:53:00,Pinot Noir,2,34.37
57,2022-02-10 06:44:00,Bootleg Red,4,84.94
58,2022-01-20 16:42:00,Cabernet,1,53.8
59,2022-02-18 22:35:00,Chardonnay,4,61.86
60,2022-02-28 15:08:00,Chardonnay,4,28.75
61,2022-02-08 13:32:00,Merlot,3,58.64
62,2022-01-06 15:08:00,Bootleg Red,2,77.0
63,2022-01-17 14:03:00,Merlot,4,14.59
64,2022-01-02 01:18:00,Chardonnay,2,53.1
65,2022-01-12 00:26:00,Pinot Noir,2,28.58
66,2022-01-22 09:19:00,Merlot,1,13.97
67,2022-01-03 13:05:00,Bootleg Red,2,81.97
68,2022-02-07 23:21:00,Cabernet,5,94.09
69,2022-01-24 06:58:00,Bootleg Red,3,11.08
70,2022-03-07 01:53:00,Chardonnay,3,10.13
71,2022-01-14 02:33:00,Pinot Noir,5,29.83
72,2022-02-28 04:02:00,Pinot Noir,2,65.43
73,2022-02-28 09:59:00,Pinot Noir,1,31.32
74,2022-03-07 12:17:00,Merlot,2,26.88
75,2022-01-07 03:17:00,Chardonnay,1,52.72
76,2022-02-08 18:19:00,Pinot Noir,5,95.24
77,2022-01-23 21:29:00,Pinot Noir,5,21.96
78,2022-02-21 16:11:00,Chardonnay,3,85.28
79,2022-01-17 00:00:00,Bootleg Red,5,41.16
80,2022-02-16 16:13:00,Chardonnay,4,97.11
81,2022-02-11 06:24:00,Cabernet,5,65.01
82,2022-02-03 19:43:00,Bootleg Red,3,46.71
83,2022-01-29 22:40:00,Cabernet,1,87.04
84,2022-01-24 09:20:00,Pinot Noir,2,52.74
85,2022-01-20 17:09:00,Cabernet,3,65.49
86,2022-02-20 02:47:00,Pinot Noir,5,69.67
87,2022-01-29 05:56:00,Pinot Noir,2,85.55
88,2022-01-07 13:12:00,Pinot Noir,1,24.01
